Run,Q Reg,Q Cons,Q Book Test,Time in Sys
0,98.9665327914682,16.921928655785575,96.65701052449617,141.16861737508262
1,65.64326842688843,67.03930667324369,67.57027596422803,139.1691537112475
2,111.35447412490453,85.45015822403433,121.95973480528222,205.70862067992886
3,70.99612908581662,61.215265429727914,60.38015481303317,136.38550921244337
4,73.13432980528108,40.97843273876125,88.51700121757857,134.07075679918285
5,69.25201472567225,8.966588183731595,65.2494213828927,91.12658715471589
6,84.74627547216772,80.59937903732306,82.46093489304187,171.9666852868333
7,146.65796758659346,16.31282156560259,118.9634996291497,160.85357891086187
8,66.15843783396559,113.4424009111873,65.34542286461493,170.51585271791689
9,99.05717418158868,36.679316977405854,86.68299807173443,150.96122930266466
10,141.11844346074975,51.80601758823463,137.91805795830726,210.0000343382838
11,90.29243578711497,25.863594923863555,79.92310327343246,125.73737615822995
12,130.5030554020725,39.08335387367323,142.1871304901675,183.88481440859303
13,122.23745355576158,8.141756430724396,123.44543221317542,156.54001768530995
14,120.64541052956878,18.86683096870162,122.54579183670774,165.23373870369605
15,55.5454691860345,21.48808092902596,63.15104600584339,94.30940930216977
16,98.07702604104598,67.41543199757567,104.36055771064933,174.71570985525074
17,81.80651181704032,72.83697955855813,90.26651153444318,172.6036377118203
18,94.792956846421,14.842770131760716,96.20199494238847,131.58083147463117
19,153.0667432994551,26.811713796940868,152.0652272183262,197.12348983639896
20,92.64600369585267,5.6181335344046595,105.88056764633056,115.63239749500084
21,54.38466510840552,65.71887410613726,47.1878949739777,123.74488917607061
22,92.98470699751698,60.26872583366511,103.10212109622951,163.91246490728932
23,111.5980266946893,67.4570279248183,113.89707260181439,203.7044964204932
24,112.18707126422588,56.41094838406934,105.00303756229326,188.82380016944774
25,116.67536840855368,28.06243195423943,126.74989065012694,174.23005445917534
26,153.54262747863152,28.543887721639962,147.67401601112272,202.6672073286475
27,55.52127345934814,95.78892458636916,55.56909726178934,165.82494190645028
28,77.98517707276524,21.565516573371305,59.75217345765952,101.39518449349242
29,118.60969779588794,35.31270760363899,133.88923668476897,174.96239089572188
30,116.78749751847582,20.64430955016173,112.8134550104798,165.2084037169364
31,129.31552844247415,18.241347263614742,129.10939652355736,173.6722897414647
32,159.80618975318126,16.598995608163257,152.72546248483565,194.21163403133323
33,72.49135977378329,42.35586616671247,73.91106692799123,122.85945558631263
34,87.22768338137807,15.7065153931293,80.29583300544567,111.53332515744381
35,148.68224268430447,23.72908758265653,145.0293376378691,195.2152250130498
36,95.95356952219319,32.04653362612833,97.67077655731899,145.12655286991387
37,126.14415360372165,15.106469138266771,113.97351336520515,163.29616898434173
38,74.99277421818357,41.24180732460927,70.06723312010438,129.89607766663434
39,91.22577222471465,55.214983815675815,81.36524043113648,158.59008706607997
40,110.49068082042764,16.23935197079272,114.398845182497,150.650280649951
41,143.8047956951394,13.794231043392722,155.65134166320175,185.25484610741162
42,74.45336912580966,59.6793872371059,77.44345124022065,142.89641000844065
43,126.29376104217765,28.541603221611577,124.27913857856058,177.5599930868835
44,100.09801031535295,32.964683705089755,88.41681574935309,146.4214576737313
45,130.56183495144074,10.562108563771229,144.1473272062284,163.04660127281826
46,142.26348629963223,30.71191258542973,155.12358227389782,188.6810953037841
47,94.6352000973168,30.06628582572502,103.21421608319496,149.7157096622766
48,72.32500746371994,62.48555708620032,69.12771789603498,142.9935594906226
49,78.4442424344041,45.157814484848345,80.03260262037472,137.08075974108226
50,92.02788947209054,65.58179701380833,92.69040958617464,172.81898724790545
51,31.8517280633883,106.71358625050424,29.134011697023105,140.45612785819654
52,87.15195870485641,28.540196028738503,68.7395777490912,117.30190276854306
53,115.81641787648351,33.361827516460615,107.79520944342602,158.71217772618297
54,121.40195973579777,49.07672958952779,117.06681894619558,180.53406369131497
55,115.51189709024248,45.418035130314564,92.05039650161017,160.5738150107499
56,77.80430297496247,56.27138951837495,83.20085858240444,143.24338406741222
57,117.76284830951964,45.947012739966006,126.133169496198,181.06888511534075
58,55.931027211048615,39.935957085797725,53.28820134875159,106.58765436872108
59,98.22539504006421,40.64110507720602,99.10467446206957,143.57935180132543
60,91.70599426813727,56.23441830611301,92.47252081780415,152.49224436611675
61,107.36647914680277,14.296000668473605,109.51334525268072,146.87669840089774
62,82.93497735291379,63.21266252546743,83.53123804359618,155.76044838328963
63,134.08785969656034,59.0527643884961,105.64879953192953,195.62975806295333
64,149.63663994240235,47.8991136250864,146.0380238678983,220.59483032073342
65,121.77630054193281,26.395976914926404,151.40199242447866,176.1905704685768
66,89.44446283103468,56.58571850883256,98.66159715362714,159.22401130689923
67,84.44074585321782,69.72495325473285,82.37948038136673,156.5855539734622
68,109.49357445379346,18.526473240408365,108.27945248654292,139.94010527133904
69,47.723302478908515,42.73119442370406,39.77291242724481,102.24558052845352
70,95.63797639584322,8.418171952751416,101.63679738735267,127.12481498413382
71,123.4203524642186,8.88396694845273,118.07289077353293,149.83660491972907
72,132.10015965326133,53.916700522548894,130.26292027670604,208.44456741073708
73,69.34805012720881,22.650890905076512,66.20344307025067,113.32372217752918
74,78.06935048420613,27.733857082127965,83.74449179886939,122.81359889375598
75,145.40396688658947,16.55428332935654,122.0392210412876,166.24871023115313
76,90.93293253486318,34.39539603117863,84.0915194787533,143.29247457461588
77,155.73002538253945,31.00040481059984,165.7660587683691,211.49673223828995
78,72.94054301239122,23.709529587485317,75.53015959160064,112.4800462924285
79,117.82449172162006,20.916786600063826,105.71064582846401,150.1794635316776
80,64.55354337804076,47.178891667509305,68.91936474045539,137.58613993461805
81,100.9954153265097,41.55653867524179,101.91042201565757,157.45472362218973
82,122.3268205942903,51.68303637556451,126.71375674949621,184.6680334040395
83,93.22803963991478,21.37151142630186,88.03154948337699,124.21439884351099
84,115.1756895948112,19.33116685097335,118.63238192009905,160.8367474111958
85,65.51465210625119,38.73827865775078,60.955975105331824,109.65781242367171
86,54.24213061569281,46.298291680853275,46.35130047677896,108.3094034425538
87,68.44397667444804,42.71174025865612,60.800944026182286,115.66240385274213
88,94.73280767346355,55.82333648116085,101.34973293219396,155.0685661531332
89,84.44016072431411,8.3968575385512,87.87189851741881,114.34428049144269
90,81.84019945935627,45.389021963089526,78.12056575820785,136.92478682916027
91,101.31054982121559,34.32989382555443,117.73287120526827,161.15986858504277
92,53.52356465577222,47.617547968221395,54.40850668055775,115.4253078935749
93,100.07450658868927,46.162014899854924,103.47330901145185,167.69754909170385
94,122.83280340087221,22.87571506109229,113.94025677981303,160.6526605501992
95,117.21531390735018,16.297221909142525,115.74702021819809,144.25883847296467
96,75.91011444148366,42.55844961827703,79.15311883703264,139.7546356413018
97,103.78070648346548,40.214963092980675,89.25712173227451,150.28123400206655
98,77.15364560453786,12.928121249656915,83.88096410020762,102.81406553887359
99,135.2591949714906,15.669924452711504,142.2867439108435,178.41844233277865
