Run,Mean Q DN
0,24.13412185201463
1,41.33026291563415
2,13.867953105115504
3,14.458131543160384
4,31.75535297636393
5,30.43981520562052
6,144.54074550261157
7,32.46094831806019
8,133.7237500256953
9,24.62032289373956
10,136.34672663334035
11,1.2707229766722359
12,32.85604358690172
13,9.48652354326658
14,22.322199548273417
15,44.48923883684273
16,42.70551781873333
17,122.26091326285548
18,21.189911650528156
19,58.71704848948814
20,16.354247838238383
21,28.069084388783196
22,9.048023968609595
23,14.792481475330325
24,2.970734687443982
25,24.99117630379375
26,15.129182730431358
27,4.659425600469734
28,19.082572367816034
29,116.95527913624174
30,59.82518130178942
31,31.126723852736735
32,180.6829412868297
33,31.114757916855876
34,14.230559878700536
35,24.95439238647412
36,86.4582016536223
37,17.201514024923586
38,3.895218156829404
39,66.19105988250173
40,2.1526213165440704
41,21.94977194624391
42,121.44528656848881
43,20.226217630860603
44,227.50078284072177
45,16.17539659116272
46,48.227281973153794
47,7.335280225142854
48,121.87704228935624
49,5.206108592474006
50,120.62479247200491
51,7.095763598610685
52,29.17322605228922
53,11.611096743257113
54,93.4781087566869
55,15.03985088125714
56,0.013697285214112483
57,2.6905355367847545
58,26.343805593850067
59,91.02298275275658
60,31.090132943868667
61,30.032842710678935
62,72.61686114032098
63,32.9898577432752
64,25.485808885431602
65,3.1358240405951747
66,5.217686102876611
67,42.10545427714484
68,9.006842882689886
69,33.083263511948616
70,24.70720683648181
71,7.7242176910240135
72,67.94739802834926
73,4.656575500490624
74,39.39395912597802
75,19.975439538470308
76,226.42296449192676
77,2.778426891580584
78,1.9301105903438205
79,45.28218046712414
80,1.2785973908931005
81,3.5357579858292607
82,7.202841217688892
83,8.325192813559624
84,38.11151391345089
85,175.74620641596238
86,0.034677050760963946
87,23.156784054276837
88,226.3621038976352
89,2.9075359044514504
90,4.8772388821281485
91,10.895899075684802
92,62.822024535828504
93,36.485788658094705
94,61.5830276718491
95,13.875531663520267
96,28.31010866764261
97,177.6920781573785
98,25.636602632047687
99,142.26693359433563
