Run,Mean Q Nurse
0,9.618180062396092
1,16.095618751743523
2,6.835158191712585
3,17.718624677460117
4,1.8589347936708747
5,8.699660780750772
6,11.567957182078798
7,4.937330676822152
8,31.836055728202275
9,41.90890012833675
10,25.026222394963487
11,25.35275715434358
12,55.21423455749566
13,8.759788060050077
14,34.38287882919231
15,7.916649544770933
16,31.60371597231529
17,10.075408710460888
18,16.10662768947063
19,18.48396920108844
20,11.26604065479195
21,10.704435080187725
22,11.41331282821576
23,23.780794402919213
24,41.22395485722029
25,34.29824698334502
26,39.63694222275437
27,21.171124286782035
28,40.22168029142791
29,31.90814824161334
30,19.063324343713624
31,23.04573133047517
32,21.589372303047007
33,26.195104006758942
34,65.44277446076633
35,9.00567308505765
36,3.7423960746503417
37,26.995826152797473
38,31.72521827038619
39,9.90845929401456
40,6.873744523731652
41,39.76563273737468
42,4.804662657071301
43,23.857498321295157
44,45.202384546381914
45,19.969918137251042
46,21.732346315525486
47,45.32796748975548
48,38.08732889382045
49,30.167579751409942
50,36.00831546429897
51,12.485071395540679
52,19.274368789792913
53,16.20772092379797
54,29.85604555410784
55,31.681270932848612
56,46.337686299012674
57,20.421333213079773
58,30.158902754018104
59,50.70908360119778
60,24.534421454046086
61,26.588186763533603
62,9.644891071890669
63,36.13132089501204
64,11.390639446513841
65,3.0041426944801177
66,4.668409895461913
67,5.334061081696418
68,30.947134697730412
69,29.51283561941058
70,2.1616564100176108
71,8.265690579778356
72,26.62673606162717
73,13.545550876010834
74,18.6015514149503
75,30.024622688665985
76,40.32180106265845
77,35.593792413407044
78,17.561915622877457
79,26.786046624508604
80,17.506462946084188
81,2.2624998115377126
82,31.83914478292211
83,21.504286130550987
84,29.914442953723288
85,36.523301786686304
86,39.67670102949084
87,12.05531801987567
88,10.55030211290919
89,26.657957811854864
90,14.40306054642194
91,2.2344756033553876
92,22.822904555248456
93,17.11471479995377
94,33.24722097162809
95,22.264126716999417
96,16.976914111629593
97,11.99091148827891
98,31.519501330638995
99,16.007078314871976
