Run,Mean Q Nurse
0,28.369792413911277
1,8.222493998873642
2,24.29299406511728
3,17.96453052362506
4,23.47033240875029
5,35.53659910422825
6,10.248120490024153
7,13.471169799881043
8,10.819029039641302
9,13.46111974742189
10,35.01866397258217
11,3.7867117028167216
12,6.595547406431778
13,20.928567927431363
14,17.319399906658568
15,18.510608135434133
16,11.285621152181207
17,6.987740173610892
18,47.8211567404215
19,47.6939474903123
20,39.97025265882957
21,41.46127712131496
22,26.46916566836291
23,29.4734521201849
24,11.534974936300289
25,10.53086850873777
26,55.81561262381433
27,31.817755105783345
28,22.288539483838697
29,25.011229493011793
30,24.329634171043026
31,22.35449467253417
32,15.234939477953617
33,12.38814827667678
34,26.07217156808759
35,18.439021623543223
36,20.710742887213193
37,18.671628419155052
38,43.20997411643312
39,16.33449935230137
40,21.110082776285033
41,48.8106985585129
42,18.414595631493523
43,16.93450485606823
44,21.773023742932903
45,29.917856584960113
46,6.5512123281728165
47,8.158471464511742
48,9.024295028791267
49,26.032853279465744
50,16.979542168384192
51,10.560129836443567
52,19.13966539738695
53,40.33738322153492
54,10.777575655579255
55,37.84616433455959
56,45.72373666942754
57,25.94178674026775
58,11.228725147384573
59,20.54115276745108
60,49.212093913173376
61,24.114583989818666
62,29.832986988280812
63,13.944601012897348
64,16.714202435129952
65,52.02770118056946
66,9.777552512061126
67,15.724149112276985
68,29.546021448420127
69,45.73340675014487
70,69.7007770679759
71,16.564261795659416
72,30.729463390069036
73,19.381605912807366
74,32.834324079148274
75,47.95982554260721
76,7.587975206834995
77,40.18578829590929
78,34.903029119460896
79,44.45425843475892
80,27.67649086000482
81,10.63328088867517
82,20.55670949037482
83,35.58003571204228
84,23.933442711675514
85,49.38779162556665
86,36.68958027179778
87,26.02945698474705
88,8.880729209850129
89,38.467849339351154
90,7.171514115038981
91,13.476332543661531
92,42.37562710262158
93,5.243125900226048
94,14.636624544551633
95,33.34757427157063
96,25.699538334230933
97,20.3303513738819
98,6.399467677821327
99,24.032486281118874
